location_name,sex_name,measure_name,start_year,end_year,all_age_count_start_reconstructed,all_age_count_end_reconstructed,population_source,age_partition,age_group_count,population_size_change,age_structure_change,age_specific_rate_change,total_change,component_sum,closure_error,population_size_change_pct_of_total,age_structure_change_pct_of_total,age_specific_rate_change_pct_of_total,cumulative_population_size_change,cumulative_age_structure_change,cumulative_age_specific_rate_change,cumulative_total_change,chain_step_years
United States of America,Male,DALYs,2010,2015,474160.92636413476,484994.68468115776,official_GBD_2023,fine_5_year,20,20193.04561043,422.9072533011689,-9782.194546708293,10833.758317022875,10833.758317022875,0.0,186.39003215256386,3.90360612564767,-90.29363827821155,108407.07099495691,-479.35839873229247,-9093.105329338752,98834.60726688587,5
United States of America,Male,DALYs,2015,2020,484994.68468115776,493819.6891318736,official_GBD_2023,fine_5_year,20,15730.034643809826,-37.78596322297623,-6867.244229871061,8825.004450715787,8825.004450715789,1.8189894035458565e-12,178.24392873290822,-0.4281693389957605,-77.81575939391244,124137.10563876673,-517.1443619552687,-15960.349559209813,107659.61171760166,5
United States of America,Male,DALYs,2020,2023,493819.6891318736,499087.2313822248,official_GBD_2023,fine_5_year,20,6389.544052241933,-104.36659596751755,-1017.6352059230169,5267.542250351398,5267.542250351398,0.0,121.30029050674793,-1.9813148335080795,-19.318975673239837,130526.64969100867,-621.5109579227862,-16977.98476513283,112927.15396795305,5
United States of America,Male,Incidence,1990,1995,35897.178491570245,36338.365527394606,official_GBD_2023,fine_5_year,20,2021.737457191449,-1424.784885213429,-155.76553615366598,441.1870358243541,441.187035824354,-1.1368683772161603e-13,458.2495161975579,-322.94350683973096,-35.306009357826994,2021.737457191449,-1424.784885213429,-155.76553615366598,441.1870358243541,5
United States of America,Male,Incidence,1995,2000,36338.365527394606,37612.7983427586,official_GBD_2023,fine_5_year,20,1859.955833317439,-639.758714603784,54.235696650346654,1274.4328153640017,1274.4328153640017,0.0,145.94381209386867,-50.199485362518466,4.255673268649782,3881.693290508888,-2064.5435998172134,-101.52983950331932,1715.6198511883558,5
United States of America,Male,Incidence,2000,2005,37612.7983427586,39741.87880767445,official_GBD_2023,fine_5_year,20,2064.3722317193738,99.58810481644349,-34.87987161996473,2129.0804649158526,2129.0804649158526,0.0,96.96074271204041,4.6775171938078675,-1.6382599058482876,5946.065522228262,-1964.9554950007696,-136.40971112328407,3844.7003161042085,5
United States of America,Male,Incidence,2005,2010,39741.87880767445,41512.01998303068,official_GBD_2023,fine_5_year,20,1853.8649572502618,-239.31557562344094,155.59179372941435,1770.1411753562352,1770.1411753562352,0.0,104.72977992149002,-13.519575667476321,8.789795745986305,7799.930479478524,-2204.2710706242106,19.18208260613028,5614.841491460444,5
United States of America,Male,Incidence,2010,2015,41512.01998303068,42155.592601452205,official_GBD_2023,fine_5_year,20,1761.3250262809074,-514.6422896201632,-603.110118239228,643.5726184215164,643.5726184215163,-1.1368683772161603e-13,273.6792983208158,-79.96646763537281,-93.71283068544302,9561.25550575943,-2718.9133602443735,-583.9280356330977,6258.41410988196,5
United States of America,Male,Incidence,2015,2020,42155.592601452205,42302.511889071655,official_GBD_2023,fine_5_year,20,1357.384173127357,-819.7586797081785,-390.7062057997354,146.9192876194429,146.91928761944297,5.684341886080802e-14,923.8978728533694,-557.9653243565645,-265.93254849680494,10918.639678886788,-3538.672039952552,-974.634241432833,6405.333397501403,5
United States of America,Male,Incidence,2020,2023,42302.511889071655,42426.252726558676,official_GBD_2023,fine_5_year,20,545.2209086232675,-221.95309708219185,-199.52697405404737,123.74083748702833,123.7408374870283,-2.842170943040401e-14,440.6151757946706,-179.3693186418421,-161.24585715282853,11463.860587510057,-3760.625137034744,-1174.1612154868806,6529.074234988431,5
United States of America,Male,Prevalence,1990,1995,608106.0929780888,644787.3986891509,official_GBD_2023,fine_5_year,20,35043.82572162388,2316.979588255558,-679.4995988171626,36681.305711062276,36681.305711062276,0.0,95.53592774930974,6.3165133937879645,-1.8524411430976964,35043.82572162388,2316.979588255558,-679.4995988171626,36681.305711062276,5
United States of America,Male,Prevalence,1995,2000,644787.3986891509,678749.5609300992,official_GBD_2023,fine_5_year,20,33280.93729407321,1076.1530879032603,-394.92814102794125,33962.16224094853,33962.16224094853,0.0,97.99416497088056,3.168682489260744,-1.1628474601413108,68324.76301569708,3393.1326761588184,-1074.4277398451038,70643.4679520108,5
United States of America,Male,Prevalence,2000,2005,678749.5609300992,717679.1013969437,official_GBD_2023,fine_5_year,20,37270.88436927996,-202.11556118447334,1860.771658748854,38929.54046684434,38929.54046684434,0.0,95.73933810244425,-0.5191830131070052,4.779844910662748,105595.64738497704,3191.017114974345,786.3439189037501,109573.00841885514,5
