location_name,sex_name,measure_name,year,reconstructed_all_age_count,reported_all_age_count,reported_all_age_lower,reported_all_age_upper,absolute_error,relative_error_pct,within_tolerance,tolerance_pct
United States of America,Female,Prevalence,2018,753093.5562447091,753093.5562447172,635162.53769997,879108.5808754837,-8.149072527885437e-09,-1.0820797044819491e-12,True,0.0001
United States of America,Female,Prevalence,2019,756068.1912901178,756068.1912901247,637102.6859969071,882865.2042104466,-6.868503987789154e-09,-9.084503311889119e-13,True,0.0001
United States of America,Female,Prevalence,2020,758461.0258689335,758461.0258689399,639238.2009355436,885960.4297396921,-6.402842700481415e-09,-8.441887561916477e-13,True,0.0001
United States of America,Female,Prevalence,2021,759987.4287954769,759987.4287954834,640933.6849302186,888071.0541617571,-6.51925802230835e-09,-8.578112973053816e-13,True,0.0001
United States of America,Female,Prevalence,2022,762473.0912795641,762473.0912795708,645011.29298782,891573.3322665533,-6.752088665962219e-09,-8.855510762525358e-13,True,0.0001
United States of America,Female,Prevalence,2023,767642.2629328287,767642.2629328372,646810.7935539956,896626.818810405,-8.498318493366241e-09,-1.1070675630726417e-12,True,0.0001
United States of America,Male,DALYs,1990,386160.0774142717,386160.0774142718,278482.69899175625,478711.7788188408,-5.820766091346741e-11,-1.507345381304716e-14,True,0.0001
United States of America,Male,DALYs,1991,391278.8994517619,391278.89945176215,281625.30987315293,486772.4000043313,-2.3283064365386963e-10,-5.950503438342798e-14,True,0.0001
United States of America,Male,DALYs,1992,396005.8665673179,396005.8665673182,285936.1440478179,492746.51859240746,-2.9103830456733704e-10,-7.349343258223236e-14,True,0.0001
United States of America,Male,DALYs,1993,400204.92449808866,400204.9244980885,287873.7012608293,494698.1385947471,1.7462298274040222e-10,4.363339180781027e-14,True,0.0001
United States of America,Male,DALYs,1994,404849.98680294905,404849.9868029487,290155.00419822795,501962.1671810904,3.4924596548080444e-10,8.626552472898851e-14,True,0.0001
