window,location_name,sex_name,age_lower,period_start,events,population
1994_2023,United States of America,Male,50,1999,8589.466149615895,44278204.79499547
1994_2023,United States of America,Male,50,2004,9612.90533866233,50117162.30633972
1994_2023,United States of America,Male,50,2009,10932.805035911915,54977348.12864849
1994_2023,United States of America,Male,50,2014,10980.636520626196,54492651.87735545
1994_2023,United States of America,Male,50,2019,10305.550519730685,52023636.150697194
1994_2023,United States of America,Male,55,1994,4960.58686027298,27664820.946437705
1994_2023,United States of America,Male,55,1999,6137.691031582786,34121176.93394192
1994_2023,United States of America,Male,55,2004,7605.079693641678,42939125.77863054
1994_2023,United States of America,Male,55,2009,8779.739752028696,48816761.40144102
1994_2023,United States of America,Male,55,2014,9846.507917160267,53723993.714657985
1994_2023,United States of America,Male,55,2019,9586.453922634264,53099897.063387685
1994_2023,United States of America,Male,60,1994,3580.4116689898124,23809576.484621506
1994_2023,United States of America,Male,60,1999,3992.1037701113146,26381128.785924055
1994_2023,United States of America,Male,60,2004,4863.836879364765,32742033.63696486
1994_2023,United States of America,Male,60,2009,6168.398898414322,41374384.68452753
1994_2023,United States of America,Male,60,2014,7160.6674880030305,46966970.62292856
1994_2023,United States of America,Male,60,2019,7725.595672086934,51415872.297850996
1994_2023,United States of America,Male,65,1994,2396.891038330654,22297519.56212669
1994_2023,United States of America,Male,65,1999,2370.518733395209,21907304.72525276
1994_2023,United States of America,Male,65,2004,2611.974073992935,24586450.296011683
1994_2023,United States of America,Male,65,2009,3283.5085215723793,30785697.805933744
1994_2023,United States of America,Male,65,2014,4236.781752039854,38854251.38298751
1994_2023,United States of America,Male,65,2019,4697.982839886553,43737459.211942375
1990_2019,China,Female,10,1990,15784.881040226397,245079123.5302365
1990_2019,China,Female,10,1995,17983.34081981343,280052727.6317071
1990_2019,China,Female,10,2000,17636.01597890076,276532964.4717258
1990_2019,China,Female,10,2005,12494.904628800163,202529402.7308478
1990_2019,China,Female,10,2010,10209.585328367648,167611520.93602276
1990_2019,China,Female,10,2015,10994.502859973694,179418689.3843522
1990_2019,China,Female,15,1990,75526.76008672138,280919087.07978284
1990_2019,China,Female,15,1995,65426.05895720791,240302492.99765885
1990_2019,China,Female,15,2000,77130.57790016726,283934455.3254102
1990_2019,China,Female,15,2005,77620.36100601005,291983271.2459099
1990_2019,China,Female,15,2010,55622.675457990306,212391895.75578415
1990_2019,China,Female,15,2015,45059.80557976544,171699978.1392166
1990_2019,China,Female,20,1990,131018.04753618245,312630018.0155027
1990_2019,China,Female,20,1995,112061.87527648776,265570395.79291472
1990_2019,China,Female,20,2000,98662.45687683568,232552258.59371722
1990_2019,China,Female,20,2005,120938.77474165813,285115436.90724885
