location_name,sex_name,measure_name,year,val,lower,upper,fitted,joinpoint_years
United States of America,Female,DALYs,2004,269.9618007073998,189.36061281486465,335.2103412389793,268.91532333173006,"2010,2015"
United States of America,Female,DALYs,2005,270.133037153141,189.7296725465536,333.1131929492984,268.9469524515997,"2010,2015"
United States of America,Female,DALYs,2006,270.18490526737594,189.3856840724516,333.8273204163657,268.978585291604,"2010,2015"
United States of America,Female,DALYs,2007,269.819451050855,189.95414826345765,333.81004124561576,269.01022185218056,"2010,2015"
United States of America,Female,DALYs,2008,269.3433272039496,189.85247924779776,333.90117388526363,269.041862133767,"2010,2015"
United States of America,Female,DALYs,2009,268.7398182139412,189.4988680056399,331.0712159919599,269.0735061368009,"2010,2015"
United States of America,Female,DALYs,2010,267.9552509790738,188.46531850002808,331.5334539856158,269.10515386172005,"2010,2015"
United States of America,Female,DALYs,2011,265.8650779449273,186.60097084574485,329.8943403952823,265.48945852426374,"2010,2015"
United States of America,Female,DALYs,2012,262.0837657118509,185.36720506216145,324.659619791323,261.9223436490754,"2010,2015"
United States of America,Female,DALYs,2013,257.88553139735615,183.9694986706122,318.06153462802826,258.4031565093366,"2010,2015"
United States of America,Female,DALYs,2014,254.14882289831172,179.40978832866026,314.40122782810784,254.93125314826275,"2010,2015"
United States of America,Female,DALYs,2015,252.07844780375035,177.72119825222651,310.4029693815868,251.50599826126899,"2010,2015"
United States of America,Female,DALYs,2016,251.2684743319306,178.70184192816194,308.91523632021665,250.97142510625068,"2010,2015"
United States of America,Female,DALYs,2017,250.61537667774573,177.39929708699714,309.3719578177374,250.43798818042788,"2010,2015"
United States of America,Female,DALYs,2018,250.0651045308392,177.8175429145236,307.9789318283399,249.90568506875826,"2010,2015"
United States of America,Female,DALYs,2019,249.5356896057436,177.9569969513529,307.2325257537821,249.37451336133267,"2010,2015"
United States of America,Female,DALYs,2020,248.31600808597693,176.77835521044122,305.91463447294,248.8444706533642,"2010,2015"
United States of America,Female,DALYs,2021,247.7122543569937,176.05567880430416,307.2157551447892,248.31555454517724,"2010,2015"
