location_name,sex_name,measure_name,age_name,age_midpoint,reference_age,reference_period,reference_cohort,fitted_rate,fitted_rate_lower,fitted_rate_upper,age_rr_vs_reference,age_rr_vs_reference_lower,age_rr_vs_reference_upper,age_rr_vs_reference_se
China,Male,Incidence,60-64 years,62.0,40-44 years,2004-2008,1959,29.336537916552057,25.25883260881648,34.07253495273953,1.092383149216568,0.9577675849943863,1.2459191179447786,0.06709786727699535
China,Male,Incidence,65-69 years,67.0,40-44 years,2004-2008,1959,25.789843488405115,22.022062779030957,30.2022582457509,0.9603174896711706,0.8386167644193193,1.0996795200092397,0.06913781770250688
United States of America,Male,Incidence,15-19 years,17.0,40-44 years,2004-2008,1959,34.4294196789926,24.70567521355855,47.9802688728645,1.5012896059849787,1.1281423472113927,1.9978600099622,0.145791906438095
United States of America,Male,Incidence,20-24 years,22.0,40-44 years,2004-2008,1959,46.5959377177039,33.42581657999319,64.95522425297125,2.031808773686514,1.5276326802309383,2.7023818920955605,0.14551385128761082
United States of America,Male,Incidence,25-29 years,27.0,40-44 years,2004-2008,1959,37.564939335214135,26.945924561478996,52.36876040526052,1.6380134634631573,1.2358926753295891,2.170971768055053,0.14371973563358614
United States of America,Male,Incidence,30-34 years,32.0,40-44 years,2004-2008,1959,28.887820052169648,20.718097661456696,40.27909130474966,1.2596489975214045,0.9511542333773964,1.668200110220302,0.14332252966217743
United States of America,Male,Incidence,35-39 years,37.0,40-44 years,2004-2008,1959,25.492897307425807,18.518891560618616,35.093234981135595,1.1116139078415235,0.8418842077813135,1.467761799883628,0.14179883928907744
United States of America,Male,Incidence,40-44 years,42.0,40-44 years,2004-2008,1959,22.93322989897333,16.66508731690268,31.558972575303162,1.149098688068424,0.9300548902857196,1.4197310381486492,0.10790283588835621
United States of America,Male,Incidence,45-49 years,47.0,40-44 years,2004-2008,1959,22.865273420907233,16.5908231402889,31.512645526504162,0.9970367681148508,0.7521757971030953,1.321609018531947,0.14378447890827056
United States of America,Male,Incidence,50-54 years,52.0,40-44 years,2004-2008,1959,22.396113892562436,16.209768104085082,30.943435727635222,0.9765791382732817,0.7336018768374756,1.3000332243177626,0.14596393391787527
United States of America,Male,Incidence,55-59 years,57.0,40-44 years,2004-2008,1959,21.986607286416014,15.841342967905875,30.515777667743123,0.9587226650268005,0.7158942664837812,1.2839174602565622,0.14901497840486322
United States of America,Male,Incidence,60-64 years,62.0,40-44 years,2004-2008,1959,20.514284297899554,14.695945598740881,28.636187949083357,0.8945222451556174,0.6631837087333123,1.2065586602037908,0.15267231253672978
United States of America,Male,Incidence,65-69 years,67.0,40-44 years,2004-2008,1959,18.106094873121624,12.72033390744155,25.77217500263073,0.7895135117418499,0.580476023251741,1.0738283068629377,0.15692267917419675
China,Male,Prevalence,15-19 years,17.0,40-44 years,2004-2008,1959,192.04328766036457,140.5101321845379,262.4766183193441,0.3559806115245736,0.27358645836778966,0.4631888454473625,0.13431560056406006
China,Male,Prevalence,20-24 years,22.0,40-44 years,2004-2008,1959,383.7427789486798,280.70249819678446,524.6070887905701,0.7113239456714633,0.5475249851613522,0.9241254178318625,0.13353053580807828
China,Male,Prevalence,25-29 years,27.0,40-44 years,2004-2008,1959,493.40290848713465,361.1760874322025,674.0380622492397,0.9145952000253316,0.7081924633322577,1.181154026934241,0.13049268644157644
China,Male,Prevalence,30-34 years,32.0,40-44 years,2004-2008,1959,541.5633517610197,396.9864868539199,738.793066471688,1.0038676982042434,0.777849063947117,1.2955602856731072,0.1301443962877919
China,Male,Prevalence,35-39 years,37.0,40-44 years,2004-2008,1959,546.3119043959398,404.7370889597079,737.4088143289242,1.0126698421970344,0.7855193832934184,1.3055059252590167,0.12959203904361705
China,Male,Prevalence,40-44 years,42.0,40-44 years,2004-2008,1959,539.4768182398822,398.7542847981592,729.8610911868761,0.8517518398638273,0.7005910463180212,1.035527360111444,0.09967902345683267
China,Male,Prevalence,45-49 years,47.0,40-44 years,2004-2008,1959,526.6918956654832,387.59045884596236,715.7151230854921,0.9763012568063412,0.7528386557861346,1.2660935204586719,0.13261238124985797
China,Male,Prevalence,50-54 years,52.0,40-44 years,2004-2008,1959,516.2672545112129,378.95489726561965,703.3340379125015,0.9569776439988762,0.7334628963819791,1.2486060516913977,0.13571582587758158
China,Male,Prevalence,55-59 years,57.0,40-44 years,2004-2008,1959,508.5748006555775,370.94548402234045,697.2677630610625,0.9427185440791933,0.7165370398888293,1.2402963194877945,0.13996827955604876
China,Male,Prevalence,60-64 years,62.0,40-44 years,2004-2008,1959,500.8439977559429,362.81623130782816,691.382271360754,0.928388358539697,0.699344011062304,1.2324477376488845,0.14454457471326554
China,Male,Prevalence,65-69 years,67.0,40-44 years,2004-2008,1959,479.68070168295026,341.34357865200184,674.0820392043373,0.8891590620111811,0.664048700907551,1.1905811071930272,0.1489391073364046
United States of America,Male,Prevalence,15-19 years,17.0,40-44 years,2004-2008,1959,273.8050196116824,201.25398466154934,372.51033260598615,0.36641705792150153,0.28109990776178456,0.4776289732888408,0.13523573336713673
United States of America,Male,Prevalence,20-24 years,22.0,40-44 years,2004-2008,1959,582.1086723542328,427.74380659630765,792.1809765671369,0.7790015954314103,0.597919771955091,1.0149246005035302,0.13497781100977835
United States of America,Male,Prevalence,25-29 years,27.0,40-44 years,2004-2008,1959,733.1170066477814,538.6802954332653,997.735669918869,0.9810871147251842,0.7554900429909633,1.27404978478492,0.13331359965439377
United States of America,Male,Prevalence,30-34 years,32.0,40-44 years,2004-2008,1959,774.5365229440085,569.0230465455713,1054.2750931023143,1.036516402775927,0.7987501996885278,1.3450591356878485,0.13294515368127025
United States of America,Male,Prevalence,35-39 years,37.0,40-44 years,2004-2008,1959,768.6768787449682,571.4652590774467,1033.9458690296883,1.0286747876334283,0.7949063713622547,1.3311905110274285,0.13153178726015108
United States of America,Male,Prevalence,40-44 years,42.0,40-44 years,2004-2008,1959,747.24965361831,555.7093469696362,1004.809524758982,0.8335011609654939,0.6850272358885481,1.0141555677413325,0.10009004958002884
United States of America,Male,Prevalence,45-49 years,47.0,40-44 years,2004-2008,1959,714.6404290524675,530.7204850099941,962.2973999706785,0.9563610041062669,0.7363629214918344,1.2420863998993323,0.13337365514339045
United States of America,Male,Prevalence,50-54 years,52.0,40-44 years,2004-2008,1959,678.1063440681529,502.4205685588541,915.2256946495044,0.9074695997310223,0.6959551848840498,1.1832673889385303,0.13539530506735073
United States of America,Male,Prevalence,55-59 years,57.0,40-44 years,2004-2008,1959,641.9993151519371,473.67065055496124,870.1470529631894,0.859149699224706,0.6552529360576625,1.1264935493748724,0.13822543637446036
United States of America,Male,Prevalence,60-64 years,62.0,40-44 years,2004-2008,1959,605.2231928490484,444.16603089621,824.6806096884748,0.8099343906262844,0.6136238060008594,1.0690486755956334,0.14161795846691222
United States of America,Male,Prevalence,65-69 years,67.0,40-44 years,2004-2008,1959,558.9661628242612,402.8663034052312,775.5505202136534,0.7480313441667743,0.5623622166125736,0.9950008647921679,0.145560574098605
