location_name,sex_name,measure_name,cohort_label,cohort_midpoint,reference_cohort,cohort_rr,cohort_rr_lower,cohort_rr_upper
China,Male,DALYs,1964,1964.5,1959,0.9695013759792693,0.7244512757760861,1.2974411799037422
China,Male,DALYs,1969,1969.0,1959,0.9955487191352574,0.768257657732409,1.2900844426298796
China,Male,DALYs,1970,1969.5,1959,0.8922170640207583,0.6451210212292329,1.2339565184420778
China,Male,DALYs,1974,1974.5,1959,0.9112542710131163,0.6799084355971702,1.2213179054181191
China,Male,DALYs,1974,1974.5,1959,0.9112542710131102,0.6799084355971656,1.2213179054181111
China,Male,DALYs,1979,1979.0,1959,0.8811884836986374,0.6722244860098712,1.1551098776721762
China,Male,DALYs,1984,1984.0,1959,0.8579896636315419,0.651668019314874,1.1296338642987391
China,Male,DALYs,1989,1989.0,1959,0.8246128915115677,0.6222544257326617,1.0927787617523677
China,Male,DALYs,1994,1994.0,1959,0.8092142200679132,0.6002350809150458,1.0909519866147275
China,Male,DALYs,1999,1999.0,1959,0.8119385294205511,0.5928759901934557,1.1119427780209068
China,Male,DALYs,2004,2004.0,1959,0.8230162321911759,0.5934390600553151,1.1414073727924525
United States of America,Male,DALYs,1924,1924.5,1959,0.9169192589897341,0.6548168761135594,1.283932895096125
United States of America,Male,DALYs,1929,1929.0,1959,0.9153355698222658,0.6552558160000602,1.278644439199873
United States of America,Male,DALYs,1930,1929.5,1959,0.9252244220377255,0.6616575827365686,1.293781335648753
United States of America,Male,DALYs,1934,1934.5,1959,0.9202088433385189,0.6671952041683717,1.269170266914452
United States of America,Male,DALYs,1934,1934.5,1959,0.9202088433385155,0.6671952041683693,1.2691702669144473
United States of America,Male,DALYs,1939,1939.0,1959,0.9187244352125339,0.6722979716639029,1.2554769215911772
United States of America,Male,DALYs,1940,1939.5,1959,0.9368623435248647,0.6710107638486468,1.3080431760598077
United States of America,Male,DALYs,1944,1944.5,1959,0.9362203772904462,0.6898165882565178,1.2706400654545051
United States of America,Male,DALYs,1944,1944.5,1959,0.9362203772904352,0.6898165882565098,1.2706400654544903
United States of America,Male,DALYs,1949,1949.0,1959,0.9450709821478197,0.713983300677077,1.2509524528806952
United States of America,Male,DALYs,1950,1949.5,1959,0.9512623376997974,0.6847350232775846,1.3215331542333655
United States of America,Male,DALYs,1954,1954.5,1959,0.9578051471935588,0.7145965701948273,1.2837882775456897
United States of America,Male,DALYs,1954,1954.5,1959,0.957805147193555,0.7145965701948244,1.2837882775456846
United States of America,Male,DALYs,1959,1959.0,1959,0.9272797491796247,0.7595919118414799,1.1319864256507124
United States of America,Male,DALYs,1960,1959.5,1959,0.9560868587906988,0.6887131538569675,1.3272609597087892
United States of America,Male,DALYs,1964,1964.5,1959,0.987728337904094,0.7375627621983237,1.3227447472957594
United States of America,Male,DALYs,1964,1964.5,1959,0.9877283379040961,0.7375627621983254,1.3227447472957623
United States of America,Male,DALYs,1969,1969.0,1959,1.027692048152016,0.787126098214865,1.3417811304061016
United States of America,Male,DALYs,1970,1969.5,1959,0.9214296959594088,0.6626905655997738,1.2811902397122918
