location_name,sex_name,measure_name,start_year,end_year,interval_label,count_start,count_end,population_growth,population_aging,rate_change,total_change,population_growth_pct_of_total,population_aging_pct_of_total,rate_change_pct_of_total
United States of America,Female,Incidence,2011,2012,2011-2012,35607.11819292128,35466.95946601528,326.54012669339374,-106.10495887919144,-360.5938947184744,-140.15872690427204,-232.97880474928942,75.70342655271176,257.2753781965777
United States of America,Female,Incidence,2012,2013,2012-2013,35466.95946601528,35216.306675099695,315.51523557452555,-144.97296250573828,-421.19506398560156,-250.6527909168144,-125.87740771625296,57.838160100061,168.03924761619191
United States of America,Female,Incidence,2013,2014,2013-2014,35216.306675099695,35011.82211040558,309.64823101190024,-145.46908965223946,-368.6637060544842,-204.48456469482335,-151.42865745100377,71.13939864817684,180.28925880282696
United States of America,Female,Incidence,2014,2015,2014-2015,35011.82211040558,34941.351633816645,323.3928847618784,-191.54281877004783,-202.32054257799126,-70.47047658616066,-458.9054884090111,271.8057661152017,287.09972229380946
United States of America,Female,Incidence,2015,2016,2015-2016,34941.351633816645,34984.18569818924,289.5637825467408,-179.5474926061482,-67.18222557151724,42.83406436907535,676.0128575512797,-419.16987157486517,-156.84298597641455
United States of America,Female,Incidence,2016,2017,2016-2017,34984.18569818924,34998.06942882679,283.1113175199704,-231.16340237824383,-38.064184503587356,13.883730638139241,2039.1588176037549,-1664.994866316604,-274.16395128715124
United States of America,Female,Incidence,2017,2018,2017-2018,34998.06942882679,34988.797861533065,242.62145126990677,-224.18413364064082,-27.708884921835608,-9.27156729256967,-2616.8332021312735,2417.974508153592,298.8586939776815
United States of America,Female,Incidence,2018,2019,2018-2019,34988.797861533065,34979.419089032075,227.5685439808658,-218.3475177408327,-18.599798741277482,-9.378772501244384,-2426.4214101650487,2328.1033601344116,198.3180500306372
United States of America,Female,Incidence,2019,2020,2019-2020,34979.419089032075,34948.58132044505,203.28618696213502,-219.88490799984967,-14.239047546251335,-30.837768583965953,-659.2117273616009,713.0376745682515,46.17405279334934
United States of America,Female,Incidence,2020,2021,2020-2021,34948.58132044505,34890.00464025385,148.45736634660352,-169.92918822159118,-37.104858319125924,-58.57668019411358,-253.44107220593585,290.0969936474268,63.34407855850906
United States of America,Female,Incidence,2021,2022,2021-2022,34890.00464025385,34956.119255394726,239.54454541440643,-139.33318928831795,-34.09674098645701,66.1146151396315,362.3170836107836,-210.74491471220347,-51.572168898580166
United States of America,Female,Incidence,2022,2023,2022-2023,34956.119255394726,35354.91069113944,245.41244122048133,-115.81981861496266,269.198813138469,398.7914357439877,61.539045030552984,-29.04270459040539,67.50365955985241
China,Female,Prevalence,1990,1991,1990-1991,1539185.4777092482,1578931.5546440906,24403.23647778062,15672.162945359481,-329.3224883028306,39746.07693483727,61.39784944760495,39.43071657374793,-0.8285660213528667
China,Female,Prevalence,1991,1992,1991-1992,1578931.5546440906,1616518.67206663,20564.313151436316,17145.413786661848,-122.60951556214907,37587.117422536016,54.711067412439085,45.61513348821481,-0.3262009006538937
China,Female,Prevalence,1992,1993,1992-1993,1616518.67206663,1652460.1717068928,18600.733245646075,17232.902604274765,107.86379034627075,35941.49964026711,51.752802280978614,47.94708839852597,0.3001093204954236
China,Female,Prevalence,1993,1994,1993-1994,1652460.1717068928,1686674.5822832817,17848.385531069787,16061.012122263512,305.0129230556389,34214.41057638894,52.16628090441751,46.94224407696526,0.8914750186172303
