sex_name,measure_name,metric_name,age_name,year,China,United States of America,china_us_pct_difference,china_us_absolute_difference
Male,Prevalence,Number,45-49 years,1995,201187.7348422976,69168.78863154902,190.8649100593509,132018.94621074857
Male,Prevalence,Number,50-54 years,1995,150393.6898625417,48439.526886524094,210.47720638324674,101954.16297601761
Male,Prevalence,Number,55-59 years,1995,136471.1258941215,34592.256555017586,294.51351107167494,101878.86933910393
Male,Prevalence,Number,60-64 years,1995,116595.72725014552,26705.549284838413,336.5973753490276,89890.1779653071
Male,Prevalence,Number,65-69 years,1995,80479.90675834136,20755.176644046976,287.7582356372028,59724.730114294376
Male,Prevalence,Number,70+ years,1995,72722.10173405903,22840.65883092813,218.38880950135874,49881.442903130905
Male,Prevalence,Number,15-19 years,1996,46303.36786153325,13341.46282039396,247.06365025245378,32961.90504113929
Male,Prevalence,Number,20-24 years,1996,171914.3199373841,47221.84951360336,264.0567273585084,124692.47042378075
Male,Prevalence,Number,25-29 years,1996,314016.19059505913,79869.96582828647,293.1592900267002,234146.22476677265
Male,Prevalence,Number,30-34 years,1996,340059.776096798,95211.04213248522,257.16422011599053,244848.7339643128
Male,Prevalence,Number,35-39 years,1996,255434.29562437168,99424.65472969555,156.91242913421965,156009.64089467612
Male,Prevalence,Number,40-44 years,1996,278839.65924667247,87007.03156310643,220.47945348466388,191832.62768356604
Male,Prevalence,Number,45-49 years,1996,211624.02621506705,72816.47229323667,190.62658427456265,138807.55392183037
Male,Prevalence,Number,50-54 years,1996,155445.1326705918,49628.39167425517,213.2181548233192,105816.74099633662
Male,Prevalence,Number,55-59 years,1996,135783.4557926222,35458.117537796315,282.94039622347367,100325.33825482588
Male,Prevalence,Number,60-64 years,1996,119100.91447734798,26713.34370536565,345.84802183870875,92387.57077198233
Male,Prevalence,Number,65-69 years,1996,82825.1677554018,20700.09048737416,300.1198342872959,62125.077268027635
Male,Prevalence,Number,70+ years,1996,75460.23199624316,23177.62631373182,225.57359832631346,52282.60568251135
Male,Prevalence,Number,15-19 years,1997,45838.70381024202,13625.839554724364,236.41012450017277,32212.864255517656
Male,Prevalence,Number,20-24 years,1997,161638.88578518966,46848.39133171785,245.02547726917356,114790.49445347181
Male,Prevalence,Number,25-29 years,1997,307747.15148552245,79870.83430159245,285.30604340937333,227876.31718393002
Male,Prevalence,Number,30-34 years,1997,355445.86510773364,93361.8418466379,280.71856561228907,262084.02326109575
Male,Prevalence,Number,35-39 years,1997,260021.461938694,99911.9770478646,160.25054214884182,160109.48489082942
Male,Prevalence,Number,40-44 years,1997,281549.1839814878,89131.27431089494,215.88147500217298,192417.90967059287
Male,Prevalence,Number,45-49 years,1997,221569.10189156543,73348.33855724607,202.07787422292833,148220.76333431934
Male,Prevalence,Number,50-54 years,1997,162471.28180261093,53636.65618363911,202.91090713475506,108834.62561897183
Male,Prevalence,Number,55-59 years,1997,135499.44385689346,36683.22117295832,269.3771689733159,98816.22268393514
Male,Prevalence,Number,60-64 years,1997,121228.59383046482,26967.51526599592,349.5356455154223,94261.07856446889
Male,Prevalence,Number,65-69 years,1997,84963.90130679373,20500.329197516385,314.45139972233767,64463.572109277346
Male,Prevalence,Number,70+ years,1997,78353.86160244465,23474.28923676953,233.78587446095344,54879.57236567512
Male,Prevalence,Number,15-19 years,1998,46051.27450531471,13856.680020257696,232.33988544146436,32194.594485057012
Male,Prevalence,Number,20-24 years,1998,152055.0666516677,47159.10994505582,222.4298907015509,104895.95670661188
Male,Prevalence,Number,25-29 years,1998,299961.8308648541,79206.44347288895,278.70887482471807,220755.38739196514
Male,Prevalence,Number,30-34 years,1998,362219.0308910252,91452.18179779303,296.0747833134435,270766.8490932322
Male,Prevalence,Number,35-39 years,1998,277836.62526955875,99884.67506696378,178.15741011651087,177951.95020259498
Male,Prevalence,Number,40-44 years,1998,275037.10028395173,91164.37418885152,201.6936196086848,183872.72609510022
Male,Prevalence,Number,45-49 years,1998,236324.35751581192,74339.38188697048,217.89927696080647,161984.97562884144
Male,Prevalence,Number,50-54 years,1998,167865.39200800887,56492.505860725534,197.14630188623215,111372.88614728334
Male,Prevalence,Number,55-59 years,1998,136647.59415841158,38714.64167703144,252.96102001502354,97932.95248138014
Male,Prevalence,Number,60-64 years,1998,122327.4188369918,27476.91222722447,345.20074826962633,94850.50660976733
Male,Prevalence,Number,65-69 years,1998,86919.56443149461,20289.18296775456,328.40347277480413,66630.38146374005
Male,Prevalence,Number,70+ years,1998,81515.04198981827,23793.75172989853,242.59011741888887,57721.29025991974
Male,Prevalence,Number,15-19 years,1999,47126.04880281435,14007.05514194559,236.44508660275406,33118.993660868764
Male,Prevalence,Number,20-24 years,1999,144709.97270727993,47914.33608011212,202.01811095812076,96795.63662716781
Male,Prevalence,Number,25-29 years,1999,290295.4887347432,77727.56791987168,273.4781577547942,212567.92081487153
Male,Prevalence,Number,30-34 years,1999,363222.4191902647,90051.9586571815,303.3476057672604,273170.4605330832
Male,Prevalence,Number,35-39 years,1999,303155.97862859373,100074.37323712176,202.93067927618108,203081.60539147197
Male,Prevalence,Number,40-44 years,1999,262935.2788260168,92593.67054654552,183.96679521830058,170341.6082794713
Male,Prevalence,Number,45-49 years,1999,244248.2125347021,76235.17381526697,220.38782140979202,168013.0387194351
Male,Prevalence,Number,50-54 years,1999,183503.17391582683,59076.69127894673,210.61857044323364,124426.4826368801
Male,Prevalence,Number,55-59 years,1999,137508.7123921608,40504.39177544956,239.49087090231856,97004.32061671125
Male,Prevalence,Number,60-64 years,1999,122580.71249455484,28146.827545124248,335.50454237884077,94433.88494943059
Male,Prevalence,Number,65-69 years,1999,89272.92691976216,20119.853489997065,343.7056510582731,69153.07342976509
Male,Prevalence,Number,70+ years,1999,84897.32425667619,23987.68300769168,253.92048589875796,60909.64124898451
Male,Prevalence,Number,15-19 years,2000,49097.7610598945,14075.659189278473,248.81322714386695,35022.10187061603
Male,Prevalence,Number,20-24 years,2000,140127.14459320475,48917.864646400696,186.45392763176366,91209.27994680405
Male,Prevalence,Number,25-29 years,2000,278915.9385611803,75713.28969470019,268.38438758354994,203202.64886648013
Male,Prevalence,Number,30-34 years,2000,361163.5288927279,89618.98049228152,302.9989260186165,271544.5484004464
Male,Prevalence,Number,35-39 years,2000,329963.5511795091,99075.70609670391,233.0418365703542,230887.84508280517
Male,Prevalence,Number,40-44 years,2000,250987.8290936169,94119.8075106952,166.66844709079558,156868.02158292168
Male,Prevalence,Number,45-49 years,2000,259075.63044729413,78219.15410643096,231.21763256960827,180856.47634086316
Male,Prevalence,Number,50-54 years,2000,192179.80237035075,62242.71695912546,208.75869781930385,129937.0854112253
Male,Prevalence,Number,55-59 years,2000,139586.50206713847,42005.947574989084,232.3017575498051,97580.55449214939
Male,Prevalence,Number,60-64 years,2000,122620.97740344856,28861.553381373986,324.8592436558972,93759.42402207457
Male,Prevalence,Number,65-69 years,2000,91346.11662520256,20097.596128732544,354.5126493740687,71248.52049647001
Male,Prevalence,Number,70+ years,2000,88518.2632613559,24214.595638543768,265.55747030710796,64303.66762281213
Male,Prevalence,Number,15-19 years,2001,51853.662739632935,14209.886659688353,264.91257095480717,37643.77607994458
