location_name,sex_name,measure_name,year,val,lower,upper,fitted,residual_log,model_knots
United States of America,Female,Prevalence,2004,433.92172485544006,360.69902190955,516.0555991551499,432.46760151916726,0.0033567465743109537,"2010,2015"
United States of America,Female,Prevalence,2005,434.22906802042,360.64240980664,515.6907083364899,432.35595228916577,0.004322988753454382,"2010,2015"
United States of America,Female,Prevalence,2006,433.98045588005,360.9615555061701,516.8443973598501,432.2443318834061,0.004008489126231751,"2010,2015"
United States of America,Female,Prevalence,2007,433.36580712136,360.94018169711,517.6060826358399,432.132740294446,0.002849381237820303,"2010,2015"
United States of America,Female,Prevalence,2008,432.46473916796,360.64701035095,516.22180219063,432.0211775148467,0.00102618604532001,"2010,2015"
United States of America,Female,Prevalence,2009,431.34613471026006,360.15333841443004,514.62143325409,431.9096435371697,-0.0013055433190212185,"2010,2015"
United States of America,Female,Prevalence,2010,430.07895772541,359.52978008388,512.96946484364,431.7981383539801,-0.0039893922613538635,"2010,2015"
United States of America,Female,Prevalence,2011,426.91053322944,356.32713480485,508.08268123782005,426.19708318494224,0.0016725913521273839,"2010,2015"
United States of America,Female,Prevalence,2012,421.18490898276,351.63585884443995,500.20879845818,420.6686819164655,0.0012264059607955957,"2010,2015"
United States of America,Female,Prevalence,2013,414.62067288757,346.80668489976,491.38574629758,415.2119921208999,-0.0014251531865348,"2010,2015"
United States of America,Female,Prevalence,2014,408.93632103551,341.91866190797003,483.62946153902,409.82608359526165,-0.002173433721370799,"2010,2015"
United States of America,Female,Prevalence,2015,405.84745395247006,339.03293189855,478.9322188688,404.510038202667,0.0033008073030700302,"2010,2015"
United States of America,Female,Prevalence,2016,404.73931045516,338.18712380609,478.00938521946,404.2280914256312,0.0012638805875040404,"2010,2015"
United States of America,Female,Prevalence,2017,403.84841026946,337.54233448698,477.39821977469,403.9463411677862,-0.00024246480589695807,"2010,2015"
United States of America,Female,Prevalence,2018,403.16494043235,337.0832706998,477.11304601698,403.6647872921551,-0.001239039431932376,"2010,2015"
United States of America,Female,Prevalence,2019,402.67997925326,336.57550831991,477.13031498737007,403.38342966185894,-0.0017453976434165241,"2010,2015"
